window,indicator,ic,win
1,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
2,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
3,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
4,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
5,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
6,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
7,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
8,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
9,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
10,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
11,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
12,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
13,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
14,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
15,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
16,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
17,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
18,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
19,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
20,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
21,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
22,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
23,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
24,vwa_mean_reversion,0.051206216119104746,0.2990562476406191
1,volatility_breakout,0.0028346432483890033,0.5079275198187996
2,volatility_breakout,0.0028346432483890033,0.5079275198187996
3,volatility_breakout,0.0028346432483890033,0.5079275198187996
4,volatility_breakout,0.0028346432483890033,0.5079275198187996
5,volatility_breakout,0.0028346432483890033,0.5079275198187996
6,volatility_breakout,0.0028346432483890033,0.5079275198187996
7,volatility_breakout,0.0028346432483890033,0.5079275198187996
8,volatility_breakout,0.0028346432483890033,0.5079275198187996
9,volatility_breakout,0.0028346432483890033,0.5079275198187996
10,volatility_breakout,0.0028346432483890033,0.5079275198187996
11,volatility_breakout,0.0028346432483890033,0.5079275198187996
12,volatility_breakout,0.0028346432483890033,0.5079275198187996
13,volatility_breakout,0.0028346432483890033,0.5079275198187996
14,volatility_breakout,0.0028346432483890033,0.5079275198187996
15,volatility_breakout,0.0028346432483890033,0.5079275198187996
16,volatility_breakout,0.0028346432483890033,0.5079275198187996
17,volatility_breakout,0.0028346432483890033,0.5079275198187996
18,volatility_breakout,0.0028346432483890033,0.5079275198187996
19,volatility_breakout,0.0028346432483890033,0.5079275198187996
20,volatility_breakout,0.0028346432483890033,0.5079275198187996
21,volatility_breakout,0.0028346432483890033,0.5079275198187996
22,volatility_breakout,0.0028346432483890033,0.5079275198187996
23,volatility_breakout,0.0028346432483890033,0.5079275198187996
24,volatility_breakout,0.0028346432483890033,0.5079275198187996
1,spread_vwap_signal,0.004007929109831915,0.4419026047565119
2,spread_vwap_signal,0.004007929109831915,0.4419026047565119
3,spread_vwap_signal,0.004007929109831915,0.4419026047565119
4,spread_vwap_signal,0.004007929109831915,0.4419026047565119
5,spread_vwap_signal,0.004007929109831915,0.4419026047565119
6,spread_vwap_signal,0.004007929109831915,0.4419026047565119
7,spread_vwap_signal,0.004007929109831915,0.4419026047565119
8,spread_vwap_signal,0.004007929109831915,0.4419026047565119
9,spread_vwap_signal,0.004007929109831915,0.4419026047565119
10,spread_vwap_signal,0.004007929109831915,0.4419026047565119
11,spread_vwap_signal,0.004007929109831915,0.4419026047565119
12,spread_vwap_signal,0.004007929109831915,0.4419026047565119
13,spread_vwap_signal,0.004007929109831915,0.4419026047565119
14,spread_vwap_signal,0.004007929109831915,0.4419026047565119
15,spread_vwap_signal,0.004007929109831915,0.4419026047565119
16,spread_vwap_signal,0.004007929109831915,0.4419026047565119
17,spread_vwap_signal,0.004007929109831915,0.4419026047565119
18,spread_vwap_signal,0.004007929109831915,0.4419026047565119
19,spread_vwap_signal,0.004007929109831915,0.4419026047565119
20,spread_vwap_signal,0.004007929109831915,0.4419026047565119
21,spread_vwap_signal,0.004007929109831915,0.4419026047565119
22,spread_vwap_signal,0.004007929109831915,0.4419026047565119
23,spread_vwap_signal,0.004007929109831915,0.4419026047565119
24,spread_vwap_signal,0.004007929109831915,0.4419026047565119
1,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
2,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
3,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
4,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
5,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
6,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
7,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
8,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
9,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
10,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
11,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
12,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
13,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
14,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
15,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
16,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
17,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
18,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
19,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
20,wick_reversal_signal,-0.01749201845649908,0.14001510003775008
