window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
1,vwa_mean_reversion,0.5220263485712129,0.00011115194667699058,0.010542862356911025,0.050419963455792534,0.05635351366483784,0.3053605134012835,1.3486395948108378
2,vwa_mean_reversion,0.5201011664338832,0.00016154482029517858,0.012710028335739585,0.04477720899651853,0.05635351366483784,0.3053605134012835,1.3486395948108378
3,vwa_mean_reversion,0.5190819523611793,0.00017109314234542428,0.013080257732378902,0.04418062015092785,0.05635351366483784,0.3053605134012835,1.3486395948108378
4,vwa_mean_reversion,0.5168925295383338,9.38013219636824e-05,0.009685108257719914,0.032134728785936345,0.05635351366483784,0.3053605134012835,1.3486395948108378
5,vwa_mean_reversion,0.5182892303046318,0.00010356273673861605,0.01017657785008476,0.031994074824674354,0.05635351366483784,0.3053605134012835,1.3486395948108378
6,vwa_mean_reversion,0.5198746744177267,6.0095720214925485e-05,0.007752142943400892,0.032588214415555476,0.05635351366483784,0.3053605134012835,1.3486395948108378
7,vwa_mean_reversion,0.5172700162319278,4.25183220033043e-05,0.006520607487288887,0.025034226462479416,0.05635351366483784,0.3053605134012835,1.3486395948108378
8,vwa_mean_reversion,0.5207806424823525,6.578969996562378e-06,0.0025649502913035814,0.018389408105412133,0.05635351366483784,0.3053605134012835,1.3486395948108378
9,vwa_mean_reversion,0.5202521611113208,7.223683415769067e-06,-0.002687691093825299,0.01253710132493028,0.05635351366483784,0.3053605134012835,1.3486395948108378
10,vwa_mean_reversion,0.5229323166358386,4.337971472689883e-05,-0.006586327863604556,0.010490867099159223,0.05635351366483784,0.3053605134012835,1.3486395948108378
11,vwa_mean_reversion,0.524932996111887,3.773076632995753e-05,-0.006142537450424904,0.012165434415816715,0.05635351366483784,0.3053605134012835,1.3486395948108378
12,vwa_mean_reversion,0.5253859801441999,5.534524491201953e-05,-0.007439438480958262,0.0061184381316584414,0.05635351366483784,0.3053605134012835,1.3486395948108378
13,vwa_mean_reversion,0.5247820014344494,6.439432940275047e-05,-0.008024607741365064,0.005745329779829031,0.05635351366483784,0.3053605134012835,1.3486395948108378
14,vwa_mean_reversion,0.5278018949832018,7.493200947583656e-05,-0.008656327713059641,0.002687707069413413,0.05635351366483784,0.3053605134012835,1.3486395948108378
15,vwa_mean_reversion,0.5315767619191424,9.096218228310526e-05,-0.009537409621236639,0.0029567370957597613,0.05635351366483784,0.3053605134012835,1.3486395948108378
