window,indicator,acc,r2,pearson,spearman,ic,win,weighted_win,sharpe
1,vwa_mean_reversion,0.5276886489751236,0.00018607530834069408,0.013640942355300384,0.0607958054287268,0.06335268151166486,0.23639109097772745,0.23638216752859462,1.7770446990116464
2,vwa_mean_reversion,0.5244045147408554,0.0001399241305101162,0.011828953060610466,0.0538122208971958,0.06335268151166486,0.23639109097772745,0.23381525801215508,1.7770446990116464
3,vwa_mean_reversion,0.5184779736514288,5.6929933574201286e-05,0.007545192745987478,0.03424296491373365,0.06335268151166486,0.23639109097772745,0.22464233135781964,1.7770446990116464
4,vwa_mean_reversion,0.5190819523611793,6.363609373372103e-05,0.007977223435125637,0.030781611475026515,0.06335268151166486,0.23639109097772745,0.22479332603525726,1.7770446990116464
5,vwa_mean_reversion,0.5207428938129931,5.303617638374725e-05,0.007282594069675684,0.03047293816742872,0.06335268151166486,0.23639109097772745,0.22494432071269488,1.7770446990116464
6,vwa_mean_reversion,0.5163640481673021,1.1978386749045278e-05,0.0034609806051134565,0.026658327432461305,0.06335268151166486,0.23639109097772745,0.22245290853497415,1.7770446990116464
7,vwa_mean_reversion,0.5217998565550565,2.5130989694810424e-06,0.0015852756761815885,0.01949744627764087,0.06335268151166486,0.23639109097772745,0.22082971575251972,1.7770446990116464
8,vwa_mean_reversion,0.5218753538937753,1.2558727660039182e-06,-0.001120657291867738,0.01893319284111775,0.06335268151166486,0.23639109097772745,0.22086746442187913,1.7770446990116464
9,vwa_mean_reversion,0.5202521611113208,3.7854350320998265e-08,0.00019456194503178134,0.014509826482338888,0.06335268151166486,0.23639109097772745,0.21901777962326827,1.7770446990116464
10,vwa_mean_reversion,0.5229323166358386,7.634297256475797e-06,-0.0027630232095323367,0.01369654415376729,0.06335268151166486,0.23639109097772745,0.22052772639764448,1.7770446990116464
11,vwa_mean_reversion,0.5231210599826356,7.3710222758816e-06,-0.0027149626656782235,0.007952981836869434,0.06335268151166486,0.23639109097772745,0.2189800309539089,1.7770446990116464
