window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
1,vwa_mean_reversion,0.5250839907893247,9.797011598644545e-06,-0.0031300178272224482,0.04556875407830718,0.04667045280263431,0.2880332200830502,0.3867467626356321
2,vwa_mean_reversion,0.5213846211921029,3.0251848665008296e-06,0.001739305857674085,0.03816240517301816,0.04667045280263431,0.2880332200830502,0.3867467626356321
3,vwa_mean_reversion,0.5194216903854139,8.139571636700538e-07,-0.0009021957457099434,0.026102007424745825,0.04667045280263431,0.2880332200830502,0.3867467626356321
4,vwa_mean_reversion,0.5155713261107546,8.288142738788196e-08,0.0002878913470698631,0.017246824481426247,0.04667045280263431,0.2880332200830502,0.3867467626356321
5,vwa_mean_reversion,0.5209316371597901,7.366584942047893e-07,0.0008582881183736905,0.01687171233885712,0.04667045280263431,0.2880332200830502,0.3867467626356321
6,vwa_mean_reversion,0.520176663772602,3.4715015071462574e-06,-0.001863196583026562,0.014586477326822658,0.04667045280263431,0.2880332200830502,0.3867467626356321
7,vwa_mean_reversion,0.5204031557887584,1.3353678031791105e-05,-0.0036542684674091487,0.0073387558980495815,0.04667045280263431,0.2880332200830502,0.3867467626356321
8,vwa_mean_reversion,0.5242157713940584,3.834084826404016e-05,-0.006191998729325879,0.009520927976061197,0.04667045280263431,0.2880332200830502,0.3867467626356321
9,vwa_mean_reversion,0.5257257181684346,6.0833942978288924e-05,-0.007799611719695691,0.0020496880675430775,0.04667045280263431,0.2880332200830502,0.3867467626356321
10,vwa_mean_reversion,0.5238760333698237,4.449534455208681e-05,-0.006670483082359403,0.0036277865179276153,0.04667045280263431,0.2880332200830502,0.3867467626356321
11,vwa_mean_reversion,0.527537654297686,3.8679610154579436e-05,-0.006219293380656982,-0.00047491399225935165,0.04667045280263431,0.2880332200830502,0.3867467626356321
12,vwa_mean_reversion,0.5260654561926692,7.703196684527569e-06,-0.002775463327896562,-0.0037880798013845683,0.04667045280263431,0.2880332200830502,0.3867467626356321
13,vwa_mean_reversion,0.5285191197010305,3.3488641070889e-05,-0.005786937106187144,-0.001923722448063232,0.04667045280263431,0.2880332200830502,0.3867467626356321
14,vwa_mean_reversion,0.5311992752255483,6.789015923069908e-05,-0.008239548484644007,-0.004399281245951181,0.04667045280263431,0.2880332200830502,0.3867467626356321
15,vwa_mean_reversion,0.5328979653467215,4.7607538191107857e-05,-0.006899821605730079,-0.0034147973611208878,0.04667045280263431,0.2880332200830502,0.3867467626356321
16,vwa_mean_reversion,0.5308972858706731,7.52799152730077e-05,-0.008676399902794937,-0.006104259879583953,0.04667045280263431,0.2880332200830502,0.3867467626356321
17,vwa_mean_reversion,0.5319542486127364,4.5784082546074245e-05,-0.006766393614467055,-0.00183460430028595,0.04667045280263431,0.2880332200830502,0.3867467626356321
18,vwa_mean_reversion,0.5328979653467215,1.9898635789550312e-05,-0.004460788695900298,-0.0037523429340726683,0.04667045280263431,0.2880332200830502,0.3867467626356321
19,vwa_mean_reversion,0.5344079121210977,3.152770368453073e-05,-0.005614953578124186,-0.005328286575429265,0.04667045280263431,0.2880332200830502,0.3867467626356321
20,vwa_mean_reversion,0.5343701634517384,2.509133145434106e-05,-0.005009124819204098,-0.004405891035875423,0.04667045280263431,0.2880332200830502,0.3867467626356321
