window,indicator,acc,r2,pearson,spearman,ic,win,sharpe
1,vwa_mean_reversion,0.5227435732890415,1.4484953306026505e-05,0.003805910312414472,0.05340255335211445,0.056561673698346714,0.2949792374480936,0.7561492883002745
2,vwa_mean_reversion,0.5206296478049148,3.35761536457424e-05,0.005794493389922407,0.04689143549953916,0.056561673698346714,0.2949792374480936,0.7561492883002745
3,vwa_mean_reversion,0.5154958287720358,8.661605885895707e-05,0.009306774890300885,0.03911397032758236,0.056561673698346714,0.2949792374480936,0.7561492883002745
4,vwa_mean_reversion,0.5143256200218942,4.3191482987148255e-05,0.006572022747000969,0.030154307721031812,0.056561673698346714,0.2949792374480936,0.7561492883002745
5,vwa_mean_reversion,0.5124004378845646,3.513231304952402e-05,0.00592725172820789,0.029628684620518726,0.056561673698346714,0.2949792374480936,0.7561492883002745
6,vwa_mean_reversion,0.5103997584085161,4.6535971942596177e-07,-0.0006821727930048185,0.026483954120611886,0.056561673698346714,0.2949792374480936,0.7561492883002745
7,vwa_mean_reversion,0.5094937903438904,1.7809601066121061e-06,0.0013345261730148186,0.02089827164204226,0.056561673698346714,0.2949792374480936,0.7561492883002745
8,vwa_mean_reversion,0.5088520629647805,3.339827774784254e-06,-0.00182751956897345,0.020813931819831707,0.056561673698346714,0.2949792374480936,0.7561492883002745
9,vwa_mean_reversion,0.5067003888112944,4.691746553375786e-06,-0.002166043986925766,0.018063538513510266,0.056561673698346714,0.2949792374480936,0.7561492883002745
10,vwa_mean_reversion,0.5082103355856706,1.199213068481253e-05,-0.003462965591053367,0.01571236218364357,0.056561673698346714,0.2949792374480936,0.7561492883002745
11,vwa_mean_reversion,0.5077573515533578,4.084608819621138e-06,-0.0020210415185201005,0.01609200134010112,0.056561673698346714,0.2949792374480936,0.7561492883002745
12,vwa_mean_reversion,0.5060964101015439,1.1566275005092663e-05,-0.0034009226696772015,0.013257587200748724,0.056561673698346714,0.2949792374480936,0.7561492883002745
13,vwa_mean_reversion,0.5049262013514023,3.0623067303614526e-05,-0.00553381128188852,0.01507870834954046,0.056561673698346714,0.2949792374480936,0.7561492883002745
14,vwa_mean_reversion,0.5027745271979163,4.061240848673986e-05,-0.006372786555872353,0.008284874316386305,0.056561673698346714,0.2949792374480936,0.7561492883002745
15,vwa_mean_reversion,0.5019440564720093,5.551697955918922e-05,-0.00745097171913052,0.005520377741192102,0.056561673698346714,0.2949792374480936,0.7561492883002745
16,vwa_mean_reversion,0.5016798157864936,8.21857130171022e-05,-0.009065633624683994,0.0061948828688380315,0.056561673698346714,0.2949792374480936,0.7561492883002745
17,vwa_mean_reversion,0.4992261522781322,7.373058739390537e-05,-0.008586651698645715,0.00701239093581998,0.056561673698346714,0.2949792374480936,0.7561492883002745
18,vwa_mean_reversion,0.5002453663508362,9.776958847151906e-05,-0.009887850548593206,0.005095863368646567,0.056561673698346714,0.2949792374480936,0.7561492883002745
19,vwa_mean_reversion,0.500698350383149,0.0001558391880870369,-0.012483556708201775,0.004711146351527272,0.056561673698346714,0.2949792374480936,0.7561492883002745
20,vwa_mean_reversion,0.5000943716733985,0.0001601801454294005,-0.012656229510780367,0.0030201093909645303,0.056561673698346714,0.2949792374480936,0.7561492883002745
21,vwa_mean_reversion,0.4989996602619758,0.00021629993326088837,-0.014707138853656406,-0.000682570902331081,0.056561673698346714,0.2949792374480936,0.7561492883002745
22,vwa_mean_reversion,0.49805594352799065,0.00017245475155291956,-0.013132202844640454,-0.002971222859113243,0.056561673698346714,0.2949792374480936,0.7561492883002745
23,vwa_mean_reversion,0.5010380884073836,0.00023316803428219401,-0.01526984067638634,-0.004879560097369448,0.056561673698346714,0.2949792374480936,0.7561492883002745
24,vwa_mean_reversion,0.5050394473594806,0.00017146878860241355,-0.013094609142790904,-0.001985748033061761,0.056561673698346714,0.2949792374480936,0.7561492883002745
1,volatility_breakout,0.5034162545770262,4.2423129065216614e-07,0.0006513304005784544,0.017514059626600513,0.011894858796867375,0.36572291430728576,-0.501132298192917
2,volatility_breakout,0.5046619606658865,2.5365200064797477e-06,-0.001592645599807359,0.01734910488919426,0.011894858796867375,0.36572291430728576,-0.501132298192917
3,volatility_breakout,0.5045109659884489,1.3792823733149717e-06,-0.001174428530500612,0.017519428776652815,0.011894858796867375,0.36572291430728576,-0.501132298192917
4,volatility_breakout,0.5045487146578083,1.4948036768713813e-05,-0.003866269101935474,0.017011740691450943,0.011894858796867375,0.36572291430728576,-0.501132298192917
5,volatility_breakout,0.502095051149447,1.4828064921479367e-06,-0.001217705420888477,0.013065467777315584,0.011894858796867375,0.36572291430728576,-0.501132298192917
6,volatility_breakout,0.5031897625608698,2.87107759484595e-05,-0.005358243737314349,0.008972679135351566,0.011894858796867375,0.36572291430728576,-0.501132298192917
7,volatility_breakout,0.5036049979238232,4.448813233115523e-05,-0.006669942453357232,0.00848968969681745,0.011894858796867375,0.36572291430728576,-0.501132298192917
8,volatility_breakout,0.5023592918349629,6.675333115946369e-05,-0.008170271180286763,0.009986499011526992,0.011894858796867375,0.36572291430728576,-0.501132298192917
9,volatility_breakout,0.5043599713110113,8.59177045851034e-05,-0.009269180362102579,0.00689475812485437,0.011894858796867375,0.36572291430728576,-0.501132298192917
10,volatility_breakout,0.5058699180853875,0.00015516414220828612,-0.012456489963411536,0.0035100745685808883,0.011894858796867375,0.36572291430728576,-0.501132298192917
11,volatility_breakout,0.5056434260692311,0.00017976557169152585,-0.013407668391313361,0.0024448178856999563,0.011894858796867375,0.36572291430728576,-0.501132298192917
12,volatility_breakout,0.5055301800611528,0.00012404361144602305,-0.01113748676523854,0.004914791177222496,0.011894858796867375,0.36572291430728576,-0.501132298192917
13,volatility_breakout,0.5070023781661697,9.634085959109306e-05,-0.00981533797640731,0.004793058117795573,0.011894858796867375,0.36572291430728576,-0.501132298192917
14,volatility_breakout,0.5049639500207618,8.558432679206529e-05,-0.009251179751360677,0.008919219700863009,0.011894858796867375,0.36572291430728576,-0.501132298192917
15,volatility_breakout,0.5042844739722925,6.868586118291553e-05,-0.008287693357198127,0.009380362696938309,0.011894858796867375,0.36572291430728576,-0.501132298192917
16,volatility_breakout,0.5037937412706203,7.339091432889688e-05,-0.008566849731899277,0.012775972198291572,0.011894858796867375,0.36572291430728576,-0.501132298192917
17,volatility_breakout,0.5022460458268846,8.142363968943744e-05,-0.00902350484510273,0.01283764165522575,0.011894858796867375,0.36572291430728576,-0.501132298192917
18,volatility_breakout,0.5027367785285569,4.935719553367246e-05,-0.007025467638054727,0.012141934195267053,0.011894858796867375,0.36572291430728576,-0.501132298192917
19,volatility_breakout,0.5029632705447133,5.9098416401726084e-05,-0.007687549440593379,0.010649084204881962,0.011894858796867375,0.36572291430728576,-0.501132298192917
20,volatility_breakout,0.5025857838511193,8.357693779803554e-05,-0.00914204232095774,0.010176265548440717,0.011894858796867375,0.36572291430728576,-0.501132298192917
21,volatility_breakout,0.504246725302933,7.746713214229484e-05,-0.008801541463985454,0.010527253290579451,0.011894858796867375,0.36572291430728576,-0.501132298192917
22,volatility_breakout,0.5004718583669926,0.00010485033707419156,-0.010239645358802885,0.0066684003532265735,0.011894858796867375,0.36572291430728576,-0.501132298192917
23,volatility_breakout,0.5033030085689479,0.00011517198991450872,-0.010731821369863103,0.004713063513957283,0.011894858796867375,0.36572291430728576,-0.501132298192917
24,volatility_breakout,0.5033407572383074,0.00013067797652077662,-0.011431446825351407,0.003613705263503619,0.011894858796867375,0.36572291430728576,-0.501132298192917
1,buy_volume_sentiment,0.5034162545770262,0.0,,,0.0,0.5033975084937712,0.771745157248776
2,buy_volume_sentiment,0.5017553131252124,0.0,,,0.0,0.5033975084937712,0.771745157248776
3,buy_volume_sentiment,0.5025857838511193,0.0,,,0.0,0.5033975084937712,0.771745157248776
